ticker,cross_date,cross_price,pct_below,recovered,recovery_date,recovery_price,weeks_below,min_price_during,max_drawdown_episode,episode_return,annualized_return,current_price,unrealized_return,weeks_elapsed,sector,total_crosses,cross_number,spy_episode_return,excess_episode,beat_spy,abs_depth
MU,2023-04-15,60.38,-1.98,True,2023-04-22,63.565616607666016,1.0,60.38,0.0,5.27594668377942,1349.1591522078895,,,,Technology,13,9,1.172180902437403,4.103765781342017,True,1.98
MU,2023-04-29,60.47,-2.2,True,2023-05-13,67.3285903930664,2.0,60.16807556152344,-0.4992962435531045,11.342137246678362,1533.6100259875843,,,,Technology,13,10,0.7689727048322714,10.57316454184609,True,2.2
MU,2023-06-24,62.33,-0.65,True,2023-07-08,63.40817260742188,2.0,59.90141296386719,-3.896337295255592,1.729781176675571,56.189152480954576,,,,Technology,13,11,2.3434530159890166,-0.6136718393134455,False,0.65
MU,2023-08-12,62.92,-0.8,True,2023-08-26,69.65201568603516,2.0,62.92,0.0,10.699325629426504,1305.300999920998,,,,Technology,13,12,2.5310981964585144,8.168227432967988,True,0.8
MU,2025-03-29,64.51,-18.41,True,2025-04-19,79.62291717529297,3.0,64.51,0.0,23.42724721018905,3741.121809244096,,,,Technology,13,13,11.650016740863833,11.777230469325218,True,18.41
MA,2022-09-17,287.57,-5.23,True,2022-10-22,323.2430419921875,5.0,278.51666259765625,-3.1482203993266844,12.404994259549865,237.41961134468,,,,Financial Services,1,1,5.817605039700924,6.587389219848941,True,5.23
ORCL,2016-01-02,29.71,-2.88,True,2016-01-23,31.26067924499512,3.0,29.375215530395508,-1.126841028625014,5.21938487039757,141.54227227638296,,,,Technology,4,1,-1.8073099522576852,7.026694822655255,True,2.88
ORCL,2016-02-06,30.6,-0.51,True,2016-02-13,31.66531562805176,1.0,30.6,0.0,3.481423621084168,492.7131040894112,,,,Technology,4,2,1.338368310079474,2.143055311004694,True,0.51
ORCL,2020-03-14,41.92,-2.33,True,2020-03-21,45.75748825073242,1.0,41.92,0.0,9.154313575220474,9408.827095955112,,,,Technology,4,3,6.627870553737969,2.526443021482505,True,2.33
ORCL,2022-09-24,58.39,-4.38,True,2022-10-08,61.48655319213867,2.0,58.39,0.0,5.303225196332706,283.25117380542736,,,,Technology,4,4,-1.8096543814536958,7.112879577786401,True,4.38
NFLX,2022-01-15,39.75,-5.94,True,2023-06-03,42.00199890136719,72.0,17.551000595092773,-55.84653938341441,5.665406041175314,4.060238982676134,,,,Communication Services,3,1,2.524366806831302,3.141039234344012,True,5.94
NFLX,2023-08-12,40.45,-1.98,True,2023-08-19,41.60300064086914,1.0,40.45,0.0,2.8504342172290142,331.23970149459166,,,,Communication Services,3,2,2.5128461735619334,0.33758804366708084,True,1.98
NFLX,2023-09-09,39.69,-4.45,True,2023-10-28,43.23600006103516,7.0,35.56800079345703,-10.385485529208784,8.934240516591485,88.83325240993562,,,,Communication Services,3,3,-0.9574715377750898,9.891712054366575,True,4.45
ABBV,2019-07-02,53.48,-0.36,True,2019-09-17,55.600006103515625,11.0,49.196044921875,-8.010387206666037,3.964110141203503,20.174584324108743,,,,Healthcare,2,1,-0.44417222777566323,4.408282368979166,True,0.36
ABBV,2020-03-17,50.56,-12.83,True,2020-03-24,58.98378753662109,1.0,50.56,0.0,16.66097218477274,301986.1024377006,,,,Healthcare,2,2,6.627870553737969,10.03310163103477,True,12.83
CVX,2014-12-06,63.23,-3.34,True,2014-12-13,69.74555969238281,1.0,63.23,0.0,10.30453849815407,16300.453609785916,,,,Energy,16,1,4.971957898290369,5.332580599863701,True,3.34
CVX,2015-01-10,64.92,-1.24,True,2015-01-17,65.99053955078125,1.0,64.92,0.0,1.6490134793303302,134.0802328997682,,,,Energy,16,2,0.3364930750285433,1.3125204043017868,True,1.24
CVX,2015-01-24,63.32,-3.76,True,2015-01-31,67.69511413574219,1.0,63.32,0.0,6.909529588980079,3127.407234236608,,,,Energy,16,3,0.9617090734965306,5.947820515483548,True,3.76
CVX,2015-02-28,64.58,-2.17,True,2015-03-14,66.75114440917969,2.0,63.37710952758789,-1.8626362223786108,3.3619455081754346,136.2531206175965,,,,Energy,16,4,1.8733203571082546,1.48862515106718,True,2.17
CVX,2015-03-21,65.04,-1.68,True,2015-04-04,66.67630004882812,2.0,65.04,0.0,2.515836483438072,90.79410499053635,,,,Energy,16,5,1.4823210593805758,1.0335154240574962,True,1.68
CVX,2015-05-16,66.07,-0.76,True,2016-04-16,66.69386291503906,48.0,47.71986389160156,-27.77377948902442,0.9442453686076436,1.023333784738334,,,,Energy,16,6,1.27123875495736,-0.3269933863497164,False,0.76
