ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category,market_cap,fcf_yield,yield_bucket
BMY,2024-12-28,53.26,54.1,-1.56,-1.17,-15.23,-0.8,,-19.24,12651000000.0,11948000000.0,5.9,True,True,positive_growing,108462589528.3,11.663929521707674,very_strong (8-12%)
BMY,2025-02-01,54.12,54.19,-0.13,-17.41,-17.22,14.55,,-20.52,13942000000.0,12651000000.0,10.2,True,True,positive_growing,110213956914.59999,12.649940525048976,exceptional (>12%)
BMY,2025-03-29,52.64,54.25,-2.97,-14.23,-15.83,,,,13942000000.0,12651000000.0,10.2,True,True,positive_growing,107199975831.2,13.005599947105823,exceptional (>12%)
BMY,2025-12-27,52.84,52.97,-0.25,,,,,,13942000000.0,12651000000.0,10.2,True,True,positive_growing,107607270572.20001,12.956373603626995,exceptional (>12%)
NOW,2023-02-13,87.8,88.82,-1.14,16.24,23.35,74.26,124.74,-5.45,2173000000.0,,,True,,positive_unknown_trend,91838800000.0,2.3661023445428295,low (0-3%)
NOW,2023-05-01,86.96,90.73,-4.15,26.87,39.55,64.82,124.78,0.0,2173000000.0,,,True,,positive_unknown_trend,90960160000.0,2.388957978965736,low (0-3%)
NOW,2026-01-12,127.31,139.62,-8.81,,,,,,4533000000.0,3375000000.0,34.3,True,True,positive_growing,133166260000.0,3.4040154014988477,moderate (3-5%)
NEM,2023-01-28,45.87,46.99,-2.38,-1.34,-16.41,-28.18,-8.61,-29.32,1089000000.0,,,True,,positive_unknown_trend,49900790104.439995,2.1823301749747337,low (0-3%)
NEM,2023-04-08,46.0,47.82,-3.79,-8.26,-18.74,-18.94,17.96,-34.9,1089000000.0,,,True,,positive_unknown_trend,50042213752.0,2.176162720132414,low (0-3%)
NEM,2024-08-03,46.32,46.79,-1.02,-5.14,-5.0,47.71,,-19.83,97000000.0,1089000000.0,-91.1,True,False,positive_declining,50390333499.840004,0.19249723759083276,low (0-3%)
NEM,2024-10-26,44.15,46.71,-5.48,-5.05,15.21,82.49,,-15.9,97000000.0,1089000000.0,-91.1,True,False,positive_declining,48029646459.799995,0.2019585967204388,low (0-3%)
NEM,2025-03-29,43.61,45.38,-3.9,36.22,98.18,,,,2961000000.0,97000000.0,2952.6,True,True,positive_growing,47442194385.32,6.241279600077309,strong (5-8%)
MDT,2022-05-21,87.67,90.48,-3.11,-9.05,-18.89,-15.02,-11.28,-21.35,5978000000.0,,,True,,positive_unknown_trend,112558194793.88,5.3110304504679515,strong (5-8%)
MDT,2024-11-02,84.31,86.37,-2.38,3.5,-3.25,8.56,,-7.96,5200000000.0,4580000000.0,13.5,True,True,positive_growing,108244341314.84,4.8039462726973,moderate (3-5%)
MDT,2025-03-29,80.98,84.25,-3.88,7.53,19.76,,,,5200000000.0,4580000000.0,13.5,True,True,positive_growing,103969004384.72,5.00149061806754,strong (5-8%)
MDT,2025-05-17,78.83,83.29,-5.35,15.87,27.44,,,,5185000000.0,5200000000.0,-0.3,True,False,positive_declining,101208651712.12,5.123079808185097,strong (5-8%)
GLW,2023-04-29,29.15,29.82,-2.24,6.09,-9.71,11.03,54.64,-14.05,1011000000.0,,,True,,positive_unknown_trend,25009187377.35,4.042514395792122,moderate (3-5%)
GLW,2023-08-12,30.04,30.29,-0.83,-10.65,1.08,29.43,115.82,-16.58,1011000000.0,,,True,,positive_unknown_trend,25772761194.36,3.922746159698414,moderate (3-5%)
GLW,2023-09-02,29.56,30.36,-2.64,-6.3,6.21,33.86,139.55,-15.24,1011000000.0,,,True,,positive_unknown_trend,25360946102.039997,3.9864443382050188,moderate (3-5%)
GLW,2024-03-09,31.2,31.33,-0.4,15.45,32.61,47.59,313.78,-3.81,615000000.0,1011000000.0,-39.2,True,False,positive_declining,26767981000.8,2.2975210568986126,low (0-3%)
GLW,2024-03-30,31.23,31.5,-0.84,19.03,39.91,23.23,,-3.9,615000000.0,1011000000.0,-39.2,True,False,positive_declining,26793719444.07,2.2953140241830523,low (0-3%)
CME,2023-03-04,152.54,160.03,-4.68,6.47,18.79,27.85,59.94,0.0,2966300000.0,,,True,,positive_unknown_trend,54704250370.74,5.42243057878845,strong (5-8%)
CME,2023-05-13,159.75,160.72,-0.6,12.73,18.73,22.82,66.58,-2.83,2966300000.0,,,True,,positive_unknown_trend,57289917377.25,5.177699909160502,strong (5-8%)
CME,2023-06-17,160.59,160.72,-0.08,11.64,19.22,12.12,65.08,0.0,2966300000.0,,,True,,positive_unknown_trend,57591160135.29,5.150616853405507,strong (5-8%)
COF,2023-03-04,93.32,100.86,-7.48,14.33,3.01,42.93,83.07,-12.07,12875000000.0,,,True,,positive_unknown_trend,58038656258.759995,22.183490848923174,exceptional (>12%)
COF,2023-08-12,101.06,102.92,-1.81,3.11,31.98,34.79,110.98,-14.1,12875000000.0,,,True,,positive_unknown_trend,62852406788.58,20.484497981610037,exceptional (>12%)
COF,2023-11-18,103.13,103.38,-0.25,27.73,30.26,78.42,100.04,0.0,12875000000.0,,,True,,positive_unknown_trend,64139805186.09,20.073338175327358,exceptional (>12%)
SBUX,2022-10-22,80.01,80.53,-0.64,25.89,32.63,7.89,16.99,0.0,2556000000.0,,,True,,positive_unknown_trend,91155393000.0,2.8040030500444444,low (0-3%)
SBUX,2023-09-23,85.62,86.34,-0.83,5.77,1.29,9.38,-3.93,-18.97,2556000000.0,,,True,,positive_unknown_trend,97546866000.0,2.6202789539132914,low (0-3%)
SBUX,2023-10-07,85.82,86.45,-0.73,1.1,-6.1,7.1,-9.81,-19.16,3675100000.0,2556000000.0,43.8,True,True,positive_growing,97774725999.99998,3.7587423154732242,moderate (3-5%)
SBUX,2023-10-21,86.33,86.55,-0.26,1.4,-2.99,8.43,-1.62,-19.63,3675100000.0,2556000000.0,43.8,True,True,positive_growing,98355769000.0,3.736537304690282,moderate (3-5%)
SBUX,2024-01-06,86.76,87.58,-0.93,-7.12,-17.53,2.91,1.78,-20.04,3675100000.0,2556000000.0,43.8,True,True,positive_growing,98845668000.0,3.7180182747108352,moderate (3-5%)
SBUX,2024-01-20,87.54,87.92,-0.43,-4.33,-19.12,9.25,10.8,-20.74,3675100000.0,2556000000.0,43.8,True,True,positive_growing,99734322000.0,3.684889941899841,moderate (3-5%)
SBUX,2024-02-24,88.41,88.57,-0.18,-13.24,2.9,27.48,10.88,-21.52,3675100000.0,2556000000.0,43.8,True,True,positive_growing,100725513000.0,3.648628724283588,moderate (3-5%)
SBUX,2024-08-31,87.68,89.68,-2.23,10.51,18.18,-3.89,,-10.88,3675100000.0,2556000000.0,43.8,True,True,positive_growing,99893824000.00002,3.679006221645894,moderate (3-5%)
SBUX,2024-12-14,85.15,89.93,-5.32,10.94,7.18,3.08,,-9.1,3318100000.0,3675100000.0,-9.7,True,False,positive_declining,97011395000.0,3.420319850054728,moderate (3-5%)
SBUX,2025-03-29,79.9,89.81,-11.04,15.84,6.7,,,,3318100000.0,3675100000.0,-9.7,True,False,positive_declining,91030070000.0,3.6450592644826045,moderate (3-5%)
SBUX,2025-07-26,85.12,88.29,-3.59,-6.28,7.33,,,,3318100000.0,3675100000.0,-9.7,True,False,positive_declining,96977216000.0,3.421525319926693,moderate (3-5%)
SBUX,2025-08-16,87.18,88.11,-1.05,-2.73,11.82,,,,3318100000.0,3675100000.0,-9.7,True,False,positive_declining,99324174000.00002,3.34067716485616,moderate (3-5%)
SBUX,2025-12-20,84.53,87.1,-2.94,,,,,,2442000000.0,3318100000.0,-26.4,True,False,positive_declining,96305029000.0,2.535693125641445,low (0-3%)
CMCSA,2023-10-21,34.35,36.95,-7.04,17.48,-1.33,8.25,-21.04,-4.22,12646000000.0,,,True,,positive_unknown_trend,123261595612.65001,10.259481014459766,very_strong (8-12%)
CMCSA,2023-11-04,36.32,36.97,-1.75,1.05,-4.88,7.92,-30.24,-9.41,12646000000.0,,,True,,positive_unknown_trend,130330746802.08,9.703005860316436,very_strong (8-12%)
CMCSA,2024-02-03,36.7,37.31,-1.64,-5.87,-5.65,-15.7,-14.52,-17.44,12961000000.0,12646000000.0,2.5,True,True,positive_growing,131694339417.3,9.841729004714821,very_strong (8-12%)
