ticker,name,sector,price,wma200,pct_below,mktcap,fcf,fcf_yield,ocf,pe,fwd_pe,revenue,div_yield,total_debt,total_cash
IP,International Paper Company,Consumer Cyclical,37.25,38.66,-3.64,19876282368,553249984.0,2.78,1698000000.0,,12.9,23633999872.0,497.0,10538000384.0,1144999936.0
PRU,"Prudential Financial, Inc.",Financial Services,92.0,94.99,-3.15,32440559616,12618874880.0,38.9,6271000064.0,9.3,6.1,61233000448.0,592.0,44292001792.0,40995000320.0
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,745.77,765.57,-2.59,80020373504,3258374912.0,4.07,4978899968.0,18.3,14.3,14342899712.0,50.0,2972699904.0,8605200384.0
OTIS,Otis Worldwide Corporation,Industrials,83.19,85.38,-2.56,32584140800,1594499968.0,4.89,1596000000.0,23.9,17.3,14430999552.0,202.0,8511000064.0,1096000000.0
BSX,Boston Scientific Corporation,Healthcare,69.13,70.75,-2.29,103560364032,3241750016.0,3.13,4534000128.0,36.0,17.8,20074000384.0,,11971999744.0,1964999936.0
EQR,Equity Residential,Real Estate,59.99,61.09,-1.81,23551842304,1416431232.0,6.01,1648763008.0,20.5,39.9,3093958912.0,462.0,8479584768.0,55904000.0
PTC,PTC Inc.,Technology,155.89,158.19,-1.45,18556254208,786878400.0,4.24,899011968.0,22.9,17.9,2859922944.0,,1381058944.0,209736000.0
ABT,Abbott Laboratories,Healthcare,108.03,109.58,-1.42,191058231296,6288999936.0,3.29,9566000128.0,29.6,17.6,44328001536.0,233.0,14136000512.0,8938999808.0
SPGI,S&P Global Inc.,Financial Services,422.49,428.33,-1.36,129171447808,4877749760.0,3.78,5650999808.0,29.1,19.3,15335999488.0,92.0,13706000384.0,1800999936.0
AON,Aon plc,Financial Services,321.41,324.34,-0.9,70230097920,3059875072.0,4.36,3480999936.0,19.2,15.2,17180999680.0,93.0,16071000064.0,2617999872.0
DIS,Walt Disney Company (The),Communication Services,99.29,100.13,-0.84,174962376704,3174500096.0,1.81,15630999552.0,14.5,13.4,95715999744.0,151.0,46640001024.0,5678000128.0
ABNB,"Airbnb, Inc.",Consumer Cyclical,126.3,127.26,-0.75,76929638400,3543000064.0,4.61,4646000128.0,31.8,22.1,12241000448.0,,2271000064.0,11013999616.0
STE,STERIS plc (Ireland),Healthcare,214.57,215.88,-0.61,21499103232,870695744.0,4.05,1266786944.0,30.6,19.7,5828015104.0,115.0,2053699968.0,423700000.0
TSCO,Tractor Supply Company,Consumer Cyclical,47.24,47.28,-0.08,25675415552,515100128.0,2.01,1635259008.0,23.7,20.3,15524045824.0,203.0,5942868992.0,194108992.0
