ticker,cross_date,price,wma200,pct_below,return_3mo,return_6mo,return_12mo,return_24mo,max_drawdown_12mo,fcf,fcf_prior,fcf_change_pct,fcf_positive,fcf_growing,fcf_category
JNJ,2020-03-14,101.37,105.18,-3.62,20.8,26.13,37.1,53.58,0.0,,,,,,unknown
JNJ,2023-10-14,142.0,142.59,-0.41,6.52,-1.81,11.34,34.5,-4.84,17185000000.0,,,True,,positive_unknown_trend
JNJ,2024-03-30,143.65,145.55,-1.3,-3.1,6.84,3.78,,-4.55,17778000000.0,17185000000.0,3.5,True,True,positive_growing
JNJ,2024-11-02,148.86,148.86,-0.0,-0.72,0.79,23.88,,-7.89,17778000000.0,17185000000.0,3.5,True,True,positive_growing
JNJ,2025-03-29,149.09,149.55,-0.31,2.68,25.07,,,,18059000000.0,17778000000.0,1.6,True,True,positive_growing
JNJ,2025-05-10,147.23,149.69,-1.65,17.73,31.54,,,,18059000000.0,17778000000.0,1.6,True,True,positive_growing
JNJ,2025-06-14,146.98,149.65,-1.78,18.49,39.67,,,,18059000000.0,17778000000.0,1.6,True,True,positive_growing
MU,2015-08-08,16.54,17.01,-2.75,-11.5,-40.88,-11.92,65.25,-43.6,,,,,,unknown
MU,2015-10-17,16.82,17.52,-4.01,-35.79,-38.17,-1.74,140.72,-44.55,,,,,,unknown
MU,2016-11-26,18.33,19.56,-6.29,36.08,66.1,123.47,105.22,0.0,,,,,,unknown
MU,2020-03-14,35.23,36.61,-3.76,40.76,40.52,150.65,120.45,0.0,,,,,,unknown
MU,2022-06-11,54.6,57.62,-5.23,-5.02,-6.22,22.38,157.19,-9.98,,,,,,unknown
MU,2022-08-20,56.56,58.4,-3.16,1.57,1.4,11.49,80.82,-13.09,,,,,,unknown
MU,2022-11-12,57.61,59.55,-3.25,0.96,16.87,33.44,66.47,-14.68,3114000000.0,,,True,,positive_unknown_trend
MU,2023-02-04,58.96,60.5,-2.54,2.04,8.03,44.02,56.03,-8.17,3114000000.0,,,True,,positive_unknown_trend
MU,2023-04-15,60.38,61.6,-1.98,7.6,10.35,75.69,13.73,-0.79,3114000000.0,,,True,,positive_unknown_trend
MU,2023-04-29,60.47,61.84,-2.2,14.39,18.96,88.43,33.22,-0.95,3114000000.0,,,True,,positive_unknown_trend
